date,load_mw
2015-07-20,6931.25
2015-07-21,7152.541666666667
2015-07-22,7112.708333333333
2015-07-23,6931.833333333333
2015-07-24,6839.333333333333
2015-07-25,5699.958333333333
2015-07-26,5134.333333333333
2015-07-27,6637.208333333333
2015-07-28,6274.208333333333
2015-07-29,6035.416666666667
2015-07-30,5754.625
2015-07-31,5942.666666666667
2015-08-01,5407.166666666667
2015-08-02,4583.791666666667
2015-08-03,5466.75
2015-08-04,6403.833333333333
2015-08-05,6187.458333333333
2015-08-06,6560.458333333333
2015-08-07,6191.625
2015-08-08,5140.125
2015-08-09,5447.541666666667
2015-08-10,5877.5
2015-08-11,6336.416666666667
2015-08-12,6451.333333333333
2015-08-13,6101.958333333333
2015-08-14,5779.583333333333
2015-08-15,5657.708333333333
2015-08-16,5664.375
2015-08-17,6434.541666666667
2015-08-18,6655.916666666667
2015-08-19,6748.875
2015-08-20,6760.041666666667
2015-08-21,6677.833333333333
2015-08-22,5776.375
2015-08-23,5408.125
2015-08-24,6778.041666666667
2015-08-25,6534.416666666667
2015-08-26,6897.333333333333
2015-08-27,6673.75
2015-08-28,6919.166666666667
2015-08-29,5943.583333333333
2015-08-30,5404.625
2015-08-31,6114.458333333333
2015-09-01,6292.708333333333
2015-09-02,7145.083333333333
2015-09-03,6671.75
2015-09-04,6640.916666666667
2015-09-05,5932.875
2015-09-06,5229.125
2015-09-07,6550.625
2015-09-08,7030.958333333333
2015-09-09,6607.666666666667
2015-09-10,6556.541666666667
2015-09-11,6274.708333333333
2015-09-12,5409.375
2015-09-13,5424.625
2015-09-14,6693.416666666667
2015-09-15,5576.5
2015-09-16,6261.958333333333
2015-09-17,5849.833333333333
2015-09-18,6367.25
2015-09-19,5794.75
2015-09-20,5592.75
2015-09-21,6503.833333333333
2015-09-22,6633.0
2015-09-23,6855.625
2015-09-24,5139.083333333333
2015-09-25,6266.541666666667
2015-09-26,5743.833333333333
2015-09-27,5540.416666666667
2015-09-28,7255.416666666667
2015-09-29,7221.208333333333
2015-09-30,6974.458333333333
2015-10-01,7294.333333333333
2015-10-02,7069.333333333333
2015-10-03,6057.833333333333
2015-10-04,5596.291666666667
2015-10-05,7104.75
2015-10-06,7347.041666666667
2015-10-07,7406.333333333333
2015-10-08,7297.041666666667
2015-10-09,6982.541666666667
2015-10-10,6061.416666666667
2015-10-11,5672.208333333333
2015-10-12,7278.333333333333
2015-10-13,7387.958333333333
2015-10-14,7331.958333333333
2015-10-15,7387.0
2015-10-16,7176.5
2015-10-17,6104.583333333333
2015-10-18,5683.125
2015-10-19,7254.583333333333
2015-10-20,7471.333333333333
2015-10-21,7518.5
2015-10-22,7493.333333333333
2015-10-23,7275.541666666667
2015-10-24,6123.083333333333
2015-10-25,5409.125
2015-10-26,5661.125
2015-10-27,7262.291666666667
2015-10-28,7334.375
2015-10-29,7425.708333333333
2015-10-30,7239.0
2015-10-31,6097.416666666667
2015-11-01,5626.833333333333
2015-11-02,7230.041666666667
2015-11-03,7465.041666666667
2015-11-04,7606.5
2015-11-05,7538.375
